,movie,year,timeMin
0,Everything Everywhere All at Once,2022,139
1,The Whale,2022,117
2,The Banshees of Inisherin,2022,114
3,Puss in Boots: The Last Wish,2022,102
4,The Fabelmans,2022,151
5,Avatar: The Way of Water,2022,192
6,All Quiet on the Western Front,2022,148
7,Aftersun,2022,102
8,Top Gun: Maverick,2022,130
9,The Godfather,1972,175
10,The Batman,2022,176
11,Once Upon a Time in Hollywood,2019,161
12,Rocky,1976,120
13,Titanic,1997,194
14,The Shawshank Redemption,1994,142
15,Interstellar,2014,169
16,Harry Potter and the Sorcerer's Stone,2001,152
17,Saving Private Ryan,1998,169
18,Heat,1995,170
19,RRR,2022,187
20,The Gentlemen,2019,113
21,Pulp Fiction,1994,154
22,The Dark Knight,2008,152
23,Knives Out,2019,130
24,Dune,2021,155
25,The Lord of the Rings: The Fellowship of the Ring,2001,178
26,The Wolf of Wall Street,2013,180
27,Blade Runner 2049,2017,164
28,Guillermo del Toro's Pinocchio,2022,117
29,Good Will Hunting,1997,126
30,Inception,2010,148
31,Green Book,2018,130
32,Parasite,2019,132
33,Spider-Man: No Way Home,2021,148
34,Avengers: Endgame,2019,181
35,Black Swan,2010,108
36,Avatar,2009,162
37,The Departed,2006,151
38,Whiplash,2014,106
39,Jurassic Park,1993,127
40,Joker,2019,122
41,Goodfellas,1990,145
42,Fight Club,1999,139
43,The Hangover,2009,100
44,Casablanca,1942,102
45,American Psycho,2000,102
46,The Godfather Part II,1974,202
47,Tombstone,1993,130
48,Léon: The Professional,1994,110
49,Inglourious Basterds,2009,153
